query,expected_question
miss lectures,What constitutes unsatisfactory attendance for a student at Loughborough University?
evict halls,Under what circumstances can the University terminate a student's accommodation licence?
cancel accommodation,What must a student do to terminate their Licence agreement before or during the Licence Period?
resit cap,What is the maximum mark for a resit of a failed module?
appeal deadline,What is the deadline for submitting an appeal against a Programme Board or Review Board decision?
late assignment,What happens if assessed coursework is not submitted by the due date and time?
halls damage,What is the student's liability for damage to the premises at Loughborough University?
cooling off,What is the 'cooling off' period for cancelling acceptance of terms and conditions at Loughborough University?
first class percentage,What was the percentage of students awarded a first-class degree at Loughborough University in 2023/24?
module pass mark,What is the minimum module mark required to gain credit in an undergraduate module?
PhD meetings,What is the minimum requirement for supervisory meetings for full-time research students at Loughborough University?
overnight guests,What is required for a visitor to stay overnight in the Halls of Residence?
smoking halls,What is the smoking policy in the Halls of Residence at Loughborough University?
keys return,What is the procedure for returning keys at Loughborough University Halls of Residence?
tuition fees overdue,What happens if tuition fees are not paid by the due date at Loughborough University?
how many lectures can I miss before the university does something,What constitutes unsatisfactory attendance for a student at Loughborough University?
what happens if I do not attend for three weeks in a row,What happens if a student's participation is unsatisfactory for three consecutive weeks?
do I have to tell my school if I cannot come to a session,What should a student do if they are unable to attend a scheduled academic session?
can I get removed from my course for not showing up,What happens if a student's participation is unsatisfactory for three consecutive weeks?
what happens to my stuff if I leave it in my room when I move out,What is the student's responsibility regarding their belongings at the end of the Licence Period?
how do I get out of my accommodation contract early,What must a student do to terminate their Licence agreement before or during the Licence Period?
can I have someone stay in my room overnight,What is required for a visitor to stay overnight in the Halls of Residence?
what do I do if something is broken in my room when I move in,What should a student do if they find a defect in their accommodation after receiving the keys?
how long do I have to report a problem with my room,What is the time frame for reporting defects in the Premises after receiving the keys?
what happens if I cannot pay my accommodation fees,What actions may the university take if a student fails to pay an amount owed?
what grade do I need to pass each module at loughborough,What is the minimum module mark required to gain credit in an undergraduate module?
can I change my mind after accepting a place at loughborough,What is the 'cooling off' period for cancelling acceptance of terms and conditions at Loughborough University?
what happens if something bad in my life affects my exam performance,What is the Mitigating Circumstances procedure?
I was found cheating in an exam what could happen to me,What are the consequences of committing academic misconduct at Loughborough University?
how do I challenge a decision made about my degree results,What are the grounds for a student to appeal against a Programme Board or Review Board decision?
