question,answer,source,source_file,page
What documents comprise the Licence between Loughborough University and the Student for Halls of Residence?,"The Licence comprises an Offer specific to the Student, the Loughborough University Halls of Residence Licence Terms and Conditions 2026-27, the Halls Information on the Student Accommodation Website, and the Halls Fees Guide 2026-27.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,1
What should a Student do before accepting the Offer for Halls of Residence?,"The Student should ensure that they have read, understood, and are prepared to agree to all the terms and conditions in the Licence documents before making a decision.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,1
What is an offer of accommodation at Loughborough University?,An offer of accommodation made by Loughborough University to a student is subject to the terms and conditions outlined in the Halls Fees Guide and the Student Accommodation website appropriate to the Premises.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,1
What does the term 'Keys' refer to in the context of Loughborough University accommodation?,"The term 'Keys' refers to keys, access pds, swipe cards, and any other device for securing or gaining lawful access to the Premises.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,1
Who is responsible for providing pastoral and welfare support in Loughborough University Halls?,The Warden is responsible for providing pastoral and welfare support in Loughborough University Halls.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,1
What is the process for accepting an Offer for accommodation at Loughborough University?,"The Offer must be accepted online within 3 days of notification, which is sent to the Student by e-mail. The Offer and remaining Licence documents can be viewed at https://accommodationhub.lboro.ac.uk/ using the Student's username and password.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,1
What governs the Licence for accommodation at Loughborough University?,"The Licence is governed by English law, which may differ from the laws applicable in the student's home country.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,1
What should a student do if they do not understand the Licence terms and conditions?,"Students should seek clarification via email from sac@mailbox.lboro.ac.uk or telephone +44 (0)1509 274488, and are advised to take independent advice if needed.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,1
What is the nature of the Licence between the University and the Student regarding Halls of Residence?,The Licence does not create a tenancy of the Premises. The Student occupies the Premises as a licensee and does not have exclusive possession of the Premises.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,2
Who manages the Hall at Loughborough University?,"The Hall is managed by the University or by one of the University’s partners, which are either UPP (Universities Partnership Programme) or Unite Students (Unite Group plc).",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,2
Under what condition can a Student occupy the Premises during the Licence Period?,"The Student will be permitted to occupy the Premises during the Licence Period only if, and for so long as, they are a Student of Loughborough University.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,2
What is the nature of the agreement between the University and the Student regarding the Halls of Residence?,"The agreement is a legally binding contract between the University and the Student. If the Student has not accepted their Offer but is or has been in occupation of the Premises, an agreement will be deemed to have arisen on the terms and conditions outlined, which may be terminated by the University under specific circumstances.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,1
What are Common Parts in the context of Loughborough University Halls of Residence?,"Common Parts refer to any shared facilities such as grounds, entrance lobby, stairs, landings, lifts, or hallways necessary for gaining access to the Premises. This includes shared bathrooms and kitchens.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,1
What does 'Contents' refer to in the Halls of Residence terms and conditions?,"'Contents' refers to the fixtures, fittings, furniture, and equipment in the Premises, which are listed on the room and common area inventory.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,1
What should a student do if they find a defect in their accommodation after receiving the keys?,"The student must bring any defect in the Premises or Contents to the University’s attention within 7 days of the keys being issued. If they do not, it may be difficult for the student to prove they should not be held responsible for the defect.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,2
Can the University discuss a student's accommodation license with their parent or guardian?,"The University will not discuss matters relating to the accommodation license with the student’s parent or guardian without the student’s prior written consent, provided the student is over the age of 18.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,2
What is the fee for transferring to an alternative room or hall at Loughborough University?,"A £50 administration fee will be charged for transferring to an alternative room or hall, subject to agreement by the Hall Warden(s) and the Student Accommodation Centre.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,2
When will transfers to alternative rooms or halls not be considered at Loughborough University?,Transfers will not be considered after the start of the Summer Term unless exceptional circumstances apply.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,2
How can students pay their accommodation fees at Loughborough University?,"Students agree to pay Accommodation Fees in full in advance or in termly instalments, with termly instalment dates shown on student statements and published on the Finance Office website.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,2
What should a student do to cancel their accommodation at Loughborough University?,A student must vacate the premises and return all keys to the Hall Reception by 10:00 on the day of departure to complete the cancellation process.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,2
What happens if a student is in debt to Loughborough University regarding accommodation fees?,"If a student is in debt to Loughborough University on 1 July 2026 for licence fees under a previous accommodation licence, it may affect their current accommodation status.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,2
How can students check their accommodation fees and payment details?,"Students can check their accommodation fees by referring to the 'total to be paid by you' for 'accommodation' on their student statement, which also provides details on who to contact with queries and how to make a payment.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,2
What is considered unacceptable behaviour in the communal residential environment at Loughborough University?,All forms of antisocial behaviour by the Student or their visitors are regarded as unacceptable in the communal residential environment and contrary to the interests of other residents.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,2
